chrom,position,ref_reads,alt_reads
chr3,1006930,28,106
chr3,1006940,45,21
chr1,1006950,82,90
chr1,1006960,28,1
chr3,1006970,44,31
chr1,1006980,16,33
chr2,1006990,49,79
chr2,1007000,7,17
chr2,1007010,86,52
chr1,1007020,42,10
chr1,1007030,115,22
chr1,1007040,28,56
chr1,1007050,78,87
chr3,1007060,57,139
chr3,1007070,20,10
chr3,1007080,75,29
chr3,1007090,23,22
chr2,1007100,78,4
chr1,1007110,64,41
chr2,1007120,16,62
chr1,1007130,6,40
chr3,1007140,94,102
chr2,1007150,100,80
chr1,1007160,107,10
chr3,1007170,14,110
chr1,1007180,108,10
chr1,1007190,11,137
chr3,1007200,89,79
chr2,1007210,48,26
chr1,1007220,3,22
chr3,1007230,109,5
chr1,1007240,64,88
chr1,1007250,54,67
chr1,1007260,18,4
chr2,1007270,24,18
chr2,1007280,30,42
chr2,1007290,59,125
chr2,1007300,94,8
chr3,1007310,18,146
chr2,1007320,83,21
chr1,1007330,75,22
chr3,1007340,91,38
chr1,1007350,17,3
chr2,1007360,59,11
chr1,1007370,16,176
chr1,1007380,18,5
chr1,1007390,112,20
chr1,1007400,43,8
chr2,1007410,16,37
chr1,1007420,25,86
chr1,1007430,80,34
chr1,1007440,84,7
chr1,1007450,45,13
chr2,1007460,153,20
chr1,1007470,156,25
chr3,1007480,79,58
chr3,1007490,16,6
chr1,1007500,69,73
chr1,1007510,45,24
chr2,1007520,5,26
chr3,1007530,9,64
chr2,1007540,68,84
chr1,1007550,54,22
chr3,1007560,98,66
chr3,1007570,77,54
chr2,1007580,21,45
chr1,1007590,94,76
chr3,1007600,18,86
chr2,1007610,14,147
chr3,1007620,53,32
chr1,1007630,37,57
chr1,1007640,165,33
chr1,1007650,96,26
chr2,1007660,92,93
chr1,1007670,43,14
chr2,1007680,10,59
chr3,1007690,93,24
chr1,1007700,72,29
chr2,1007710,24,25
chr2,1007720,23,75
chr2,1007730,58,52
chr1,1007740,35,163
chr2,1007750,37,34
chr1,1007760,93,92
chr1,1007770,89,9
chr3,1007780,30,19
chr3,1007790,29,96
chr1,1007800,24,46
chr3,1007810,22,78
chr2,1007820,78,74
chr1,1007830,42,6
chr3,1007840,140,11
chr2,1007850,111,46
chr1,1007860,58,106
chr2,1007870,25,68
chr1,1007880,23,13
chr3,1007890,48,55
chr2,1007900,49,39
chr3,1007910,32,21
chr2,1007920,17,8
chr2,1007930,58,14
chr2,1007940,117,28
chr2,1007950,57,5
chr3,1007960,101,33
chr2,1007970,126,4
chr3,1007980,58,112
chr2,1007990,67,32
chr1,1008000,8,106
chr1,1008010,101,36
chr2,1008020,98,65
chr1,1008030,16,11
chr2,1008040,142,9
chr3,1008050,23,100
chr1,1008060,139,12
chr2,1008070,8,36
chr2,1008080,19,96
chr3,1008090,81,93
chr3,1008100,53,59
chr2,1008110,62,117
chr2,1008120,112,85
chr2,1008130,34,46
chr2,1008140,128,13
chr2,1008150,65,5
chr2,1008160,79,87
chr3,1008170,20,20
chr1,1008180,3,21
chr2,1008190,97,14
chr2,1008200,49,140
chr3,1008210,58,22
chr1,1008220,23,18
chr3,1008230,118,50
chr3,1008240,49,40
chr2,1008250,18,2
chr2,1008260,85,67
chr3,1008270,7,24
chr2,1008280,63,46
chr2,1008290,33,32
chr2,1008300,6,47
chr1,1008310,55,141
chr1,1008320,50,47
chr2,1008330,47,17
chr3,1008340,27,147
chr1,1008350,36,56
chr3,1008360,35,10
chr2,1008370,43,23
chr3,1008380,37,103
chr3,1008390,67,8
chr1,1008400,5,108
chr3,1008410,101,25
chr3,1008420,17,65
chr1,1008430,38,29
chr2,1008440,43,37
chr3,1008450,14,86
chr2,1008460,23,22
chr2,1008470,32,23
chr2,1008480,18,2
chr1,1008490,25,2
chr2,1008500,93,39
chr3,1008510,38,80
chr2,1008520,160,39
chr2,1008530,54,12
chr2,1008540,88,58
chr3,1008550,20,55
chr2,1008560,7,26
chr2,1008570,39,8
chr2,1008580,85,12
chr1,1008590,19,130
chr3,1008600,82,46
chr1,1008610,42,131
chr3,1008620,4,29
chr2,1008630,24,51
chr3,1008640,108,26
chr3,1008650,5,21
chr3,1008660,5,17
chr3,1008670,46,84
chr1,1008680,114,56
chr3,1008690,92,34
chr1,1008700,35,2
chr1,1008710,29,28
chr2,1008720,62,72
chr3,1008730,19,15
chr2,1008740,70,68
chr3,1008750,31,16
chr1,1008760,22,36
chr1,1008770,6,30
chr1,1008780,92,13
chr3,1008790,87,58
chr3,1008800,53,10
chr3,1008810,21,23
chr3,1008820,49,115
chr3,1008830,5,27
chr2,1008840,30,14
chr3,1008850,10,77
chr2,1008860,138,19
chr3,1008870,39,47
chr3,1008880,112,16
chr3,1008890,28,137
chr3,1008900,68,62
chr1,1008910,48,82
chr1,1008920,13,40
chr2,1008930,101,29
chr2,1008940,24,3
chr3,1008950,24,163
chr3,1008960,79,53
chr3,1008970,86,16
chr3,1008980,31,30
chr1,1008990,64,124
chr2,1009000,104,16
chr2,1009010,18,7
chr2,1009020,180,19
chr1,1009030,26,19
chr3,1009040,11,72
chr1,1009050,4,74
chr1,1009060,53,75
chr2,1009070,108,32
chr1,1009080,8,44
chr2,1009090,99,70
chr1,1009100,36,4
chr2,1009110,11,78
chr2,1009120,35,96
chr3,1009130,4,19
chr2,1009140,39,74
chr1,1009150,65,29
chr2,1009160,64,17
chr1,1009170,36,77
chr2,1009180,85,29
chr3,1009190,97,74
chr3,1009200,16,58
chr1,1009210,47,109
chr2,1009220,94,56
chr1,1009230,13,37
chr3,1009240,15,44
chr1,1009250,23,32
chr1,1009260,128,43
chr2,1009270,18,7
chr3,1009280,58,27
chr3,1009290,77,17
chr2,1009300,18,5
chr2,1009310,66,32
chr2,1009320,81,72
chr3,1009330,16,121
chr3,1009340,112,20
chr2,1009350,34,79
chr1,1009360,69,129
chr3,1009370,72,9
chr2,1009380,14,84
chr2,1009390,65,90
chr1,1009400,34,11
chr2,1009410,54,144
chr1,1009420,145,47
chr1,1009430,26,37
chr3,1009440,143,9
chr2,1009450,27,62
chr3,1009460,89,84
chr3,1009470,48,89
chr3,1009480,64,23
chr2,1009490,12,26
chr2,1009500,13,26
chr2,1009510,70,62
chr3,1009520,68,91
chr1,1009530,39,27
chr3,1009540,3,17
chr1,1009550,62,47
chr2,1009560,27,134
chr2,1009570,34,49
chr3,1009580,32,25
chr1,1009590,40,16
chr2,1009600,95,50
chr2,1009610,22,136
chr3,1009620,93,26
chr3,1009630,45,51
chr3,1009640,4,18
chr1,1009650,120,60
chr1,1009660,56,97
chr2,1009670,147,50
chr3,1009680,24,5
chr2,1009690,8,16
chr1,1009700,154,16
chr2,1009710,113,44
chr2,1009720,45,146
chr3,1009730,101,48
chr2,1009740,3,29
chr3,1009750,10,177
chr2,1009760,98,51
chr2,1009770,91,12
chr1,1009780,28,56
chr1,1009790,47,35
chr2,1009800,106,14
chr2,1009810,28,64
chr3,1009820,35,1
chr1,1009830,1,27
chr1,1009840,138,24
chr2,1009850,143,28
chr3,1009860,45,12
chr1,1009870,15,167
chr2,1009880,37,76
chr2,1009890,28,86
chr2,1009900,42,26
chr2,1009910,53,35
chr2,1009920,72,9
chr1,1009930,104,93
chr1,1009940,30,67
chr3,1009950,60,76
chr2,1009960,92,47
chr3,1009970,20,136
chr2,1009980,146,35
chr2,1009990,6,89
chr2,1010000,51,3
chr3,1010010,8,12
chr2,1010020,39,20
chr3,1010030,42,41
chr1,1010040,67,102
chr2,1010050,42,37
chr3,1010060,51,32
chr1,1010070,36,76
chr2,1010080,31,60
chr1,1010090,5,25
chr2,1010100,92,32
chr3,1010110,13,20
chr2,1010120,34,45
chr2,1010130,26,23
chr3,1010140,27,27
chr3,1010150,108,76
chr3,1010160,19,5
chr2,1010170,81,21
chr1,1010180,120,22
chr3,1010190,34,63
chr1,1010200,74,99
chr3,1010210,12,69
chr3,1010220,48,103
chr2,1010230,98,10
chr3,1010240,11,50
chr1,1010250,19,89
chr2,1010260,93,72
chr3,1010270,25,34
chr1,1010280,4,87
chr2,1010290,24,34
chr1,1010300,16,107
chr2,1010310,29,4
chr2,1010320,41,10
chr2,1010330,107,91
chr3,1010340,54,90
chr2,1010350,39,146
chr3,1010360,3,113
chr3,1010370,28,14
chr3,1010380,75,7
chr3,1010390,38,124
chr2,1010400,76,96
chr3,1010410,126,38
chr1,1010420,45,27
chr1,1010430,40,83
chr2,1010440,23,100
chr3,1010450,106,92
chr1,1010460,35,23
chr1,1010470,18,180
chr3,1010480,59,94
chr3,1010490,44,42
chr2,1010500,109,45
chr1,1010510,57,141
chr2,1010520,44,17
chr1,1010530,30,4
chr3,1010540,58,72
chr1,1010550,118,58
chr1,1010560,18,34
chr1,1010570,149,25
chr3,1010580,55,128
chr3,1010590,120,56
chr1,1010600,55,2
chr1,1010610,98,18
chr3,1010620,19,155
chr3,1010630,7,45
chr3,1010640,82,23
chr1,1010650,22,63
chr2,1010660,14,15
chr2,1010670,1,23
chr3,1010680,89,53
chr2,1010690,35,58
chr1,1010700,103,13
chr2,1010710,79,58
chr2,1010720,4,53
chr2,1010730,69,91
chr3,1010740,131,47
chr1,1010750,52,14
chr3,1010760,41,87
chr2,1010770,69,130
chr3,1010780,24,10
chr1,1010790,22,154
chr1,1010800,144,11
chr1,1010810,15,9
chr1,1010820,16,160
chr2,1010830,46,20
chr2,1010840,56,31
chr2,1010850,48,47
chr2,1010860,43,149
chr2,1010870,131,18
chr3,1010880,19,155
chr1,1010890,26,88
chr2,1010900,105,29
chr1,1010910,50,133
chr1,1010920,30,25
chr2,1010930,33,12
chr2,1010940,14,48
chr1,1010950,1,45
chr1,1010960,71,17
chr1,1010970,96,71
chr3,1010980,18,12
chr3,1010990,54,39
chr1,1011000,82,41
chr3,1011010,51,6
chr1,1011020,60,93
chr1,1011030,19,23
chr2,1011040,40,26
chr1,1011050,30,79
chr2,1011060,17,48
chr2,1011070,58,68
chr1,1011080,111,48
chr3,1011090,53,107
chr1,1011100,84,39
chr1,1011110,98,32
chr3,1011120,34,89
chr2,1011130,69,10
chr3,1011140,172,18
chr1,1011150,113,6
chr1,1011160,68,19
chr3,1011170,128,24
chr3,1011180,14,125
chr3,1011190,39,17
chr2,1011200,68,23
chr3,1011210,113,33
chr1,1011220,15,110
chr3,1011230,53,58
chr1,1011240,35,15
chr2,1011250,28,113
chr2,1011260,92,64
chr3,1011270,49,21
chr1,1011280,39,9
chr2,1011290,27,32
chr3,1011300,37,23
chr2,1011310,15,15
chr3,1011320,112,58
chr1,1011330,9,11
chr3,1011340,58,7
chr1,1011350,98,22
chr2,1011360,96,72
chr1,1011370,9,100
chr1,1011380,77,52
chr2,1011390,55,128
chr1,1011400,49,27
chr1,1011410,14,6
chr3,1011420,72,10
chr1,1011430,58,16
chr3,1011440,108,26
chr1,1011450,156,31
chr2,1011460,49,113
chr1,1011470,158,10
chr1,1011480,86,108
chr1,1011490,39,33
chr3,1011500,76,80
chr2,1011510,86,113
chr2,1011520,39,37
chr1,1011530,91,45
chr1,1011540,44,129
chr3,1011550,30,158
chr2,1011560,43,11
chr1,1011570,71,11
chr1,1011580,10,34
chr2,1011590,72,37
chr1,1011600,47,47
chr1,1011610,29,28
chr2,1011620,124,25
